Gene	Prediction
ENSMUSG00000104221	FALSE
ENSMUSG00000104257	FALSE
ENSMUSG00000104315	FALSE
ENSMUSG00000104417	FALSE
ENSMUSG00000104516	FALSE
ENSMUSG00000073737	FALSE
ENSMUSG00000102633	FALSE
ENSMUSG00000025779	FALSE
ENSMUSG00000026134	FALSE
ENSMUSG00000091665	FALSE
ENSMUSG00000025939	FALSE
ENSMUSG00000099899	FALSE
ENSMUSG00000104313	FALSE
ENSMUSG00000103922	FALSE
ENSMUSG00000004768	FALSE
ENSMUSG00000025921	FALSE
ENSMUSG00000025925	FALSE
ENSMUSG00000026064	FALSE
ENSMUSG00000041872	FALSE
ENSMUSG00000093178	FALSE
ENSMUSG00000098234	FALSE
ENSMUSG00000099032	FALSE
ENSMUSG00000100819	FALSE
ENSMUSG00000101227	FALSE
ENSMUSG00000102407	FALSE
ENSMUSG00000103482	FALSE
ENSMUSG00000103492	FALSE
ENSMUSG00000103506	FALSE
ENSMUSG00000103708	FALSE
ENSMUSG00000103924	FALSE
ENSMUSG00000026154	FALSE
ENSMUSG00000042111	FALSE
ENSMUSG00000002459	FALSE
ENSMUSG00000025930	FALSE
ENSMUSG00000025932	FALSE
ENSMUSG00000026131	FALSE
ENSMUSG00000033774	FALSE
ENSMUSG00000033813	FALSE
ENSMUSG00000037503	FALSE
ENSMUSG00000041670	FALSE
ENSMUSG00000043716	FALSE
ENSMUSG00000043760	FALSE
ENSMUSG00000056763	FALSE
ENSMUSG00000091305	FALSE
ENSMUSG00000091318	FALSE
ENSMUSG00000096992	FALSE
ENSMUSG00000098104	FALSE
ENSMUSG00000100775	FALSE
ENSMUSG00000100929	FALSE
ENSMUSG00000102647	FALSE
ENSMUSG00000102653	FALSE
ENSMUSG00000103025	FALSE
ENSMUSG00000103509	FALSE
ENSMUSG00000104170	FALSE
ENSMUSG00000102321	FALSE
ENSMUSG00000025938	FALSE
ENSMUSG00000101476	FALSE
ENSMUSG00000101589	FALSE
ENSMUSG00000102747	FALSE
ENSMUSG00000104416	FALSE
ENSMUSG00000032719	FALSE
ENSMUSG00000103085	FALSE
ENSMUSG00000104433	FALSE
ENSMUSG00000005886	FALSE
ENSMUSG00000025940	FALSE
ENSMUSG00000037509	FALSE
ENSMUSG00000042215	FALSE
ENSMUSG00000048411	FALSE
ENSMUSG00000099895	FALSE
ENSMUSG00000102317	FALSE
ENSMUSG00000104132	FALSE
ENSMUSG00000104379	FALSE
ENSMUSG00000026155	FALSE
ENSMUSG00000102693	FALSE
ENSMUSG00000064842	FALSE
ENSMUSG00000102851	FALSE
ENSMUSG00000104017	FALSE
ENSMUSG00000089699	FALSE
ENSMUSG00000103147	FALSE
ENSMUSG00000102592	FALSE
ENSMUSG00000088333	FALSE
ENSMUSG00000102343	FALSE
ENSMUSG00000102948	FALSE
ENSMUSG00000104123	FALSE
ENSMUSG00000104238	FALSE
ENSMUSG00000096126	FALSE
ENSMUSG00000103003	FALSE
ENSMUSG00000104328	FALSE
ENSMUSG00000102735	FALSE
ENSMUSG00000088000	FALSE
ENSMUSG00000103265	FALSE
ENSMUSG00000104217	FALSE
ENSMUSG00000062588	FALSE
ENSMUSG00000085623	FALSE
ENSMUSG00000104352	FALSE
ENSMUSG00000104046	FALSE
ENSMUSG00000102907	FALSE
ENSMUSG00000103936	FALSE
ENSMUSG00000093015	FALSE
ENSMUSG00000103519	FALSE
ENSMUSG00000103090	FALSE
ENSMUSG00000103355	FALSE
ENSMUSG00000102706	FALSE
ENSMUSG00000103329	FALSE
ENSMUSG00000104385	FALSE
ENSMUSG00000102135	FALSE
ENSMUSG00000103282	FALSE
ENSMUSG00000102534	FALSE
ENSMUSG00000102213	FALSE
ENSMUSG00000103629	FALSE
ENSMUSG00000098201	FALSE
ENSMUSG00000048538	FALSE
ENSMUSG00000103709	FALSE
ENSMUSG00000077244	FALSE
ENSMUSG00000102768	FALSE
ENSMUSG00000103498	FALSE
ENSMUSG00000103067	FALSE
ENSMUSG00000102320	FALSE
ENSMUSG00000104226	FALSE
ENSMUSG00000103903	FALSE
ENSMUSG00000103557	FALSE
ENSMUSG00000086235	FALSE
ENSMUSG00000102253	FALSE
ENSMUSG00000093970	FALSE
ENSMUSG00000103884	FALSE
ENSMUSG00000084353	FALSE
ENSMUSG00000076135	FALSE
ENSMUSG00000086195	FALSE
ENSMUSG00000104504	FALSE
ENSMUSG00000102316	FALSE
ENSMUSG00000103819	FALSE
ENSMUSG00000102871	FALSE
ENSMUSG00000101571	FALSE
ENSMUSG00000104428	FALSE
ENSMUSG00000102272	FALSE
ENSMUSG00000065625	FALSE
ENSMUSG00000103411	FALSE
ENSMUSG00000099827	FALSE
ENSMUSG00000046334	FALSE
ENSMUSG00000088916	FALSE
ENSMUSG00000104025	FALSE
ENSMUSG00000087199	FALSE
ENSMUSG00000095780	FALSE
ENSMUSG00000102356	FALSE
ENSMUSG00000088153	FALSE
ENSMUSG00000103810	FALSE
ENSMUSG00000083422	FALSE
ENSMUSG00000094979	FALSE
ENSMUSG00000081417	FALSE
ENSMUSG00000103448	FALSE
ENSMUSG00000100212	FALSE
ENSMUSG00000100648	FALSE
ENSMUSG00000088585	FALSE
ENSMUSG00000077318	FALSE
ENSMUSG00000101827	FALSE
ENSMUSG00000103494	FALSE
ENSMUSG00000099845	FALSE
ENSMUSG00000103561	FALSE
ENSMUSG00000101610	FALSE
ENSMUSG00000093864	FALSE
ENSMUSG00000098555	FALSE
ENSMUSG00000097628	FALSE
ENSMUSG00000098163	FALSE
ENSMUSG00000097171	FALSE
ENSMUSG00000101314	FALSE
ENSMUSG00000104518	FALSE
ENSMUSG00000069620	FALSE
ENSMUSG00000099498	FALSE
ENSMUSG00000042414	FALSE
ENSMUSG00000103495	FALSE
ENSMUSG00000099183	FALSE
ENSMUSG00000102639	FALSE
ENSMUSG00000087782	FALSE
ENSMUSG00000101171	FALSE
ENSMUSG00000067813	FALSE
ENSMUSG00000077368	FALSE
ENSMUSG00000102166	FALSE
ENSMUSG00000089358	FALSE
ENSMUSG00000104209	FALSE
ENSMUSG00000095853	FALSE
ENSMUSG00000102588	FALSE
ENSMUSG00000081201	FALSE
ENSMUSG00000082193	FALSE
ENSMUSG00000088159	FALSE
ENSMUSG00000104149	FALSE
ENSMUSG00000088829	FALSE
ENSMUSG00000077377	FALSE
ENSMUSG00000101652	FALSE
ENSMUSG00000100814	FALSE
ENSMUSG00000088943	FALSE
ENSMUSG00000100652	FALSE
ENSMUSG00000100868	FALSE
ENSMUSG00000089982	FALSE
ENSMUSG00000097744	FALSE
ENSMUSG00000100959	FALSE
ENSMUSG00000100093	FALSE
ENSMUSG00000091020	FALSE
ENSMUSG00000101640	FALSE
ENSMUSG00000104133	FALSE
ENSMUSG00000100110	FALSE
ENSMUSG00000100272	FALSE
ENSMUSG00000100398	FALSE
ENSMUSG00000102048	FALSE
ENSMUSG00000089534	FALSE
ENSMUSG00000100554	FALSE
ENSMUSG00000099473	FALSE
ENSMUSG00000099591	FALSE
ENSMUSG00000102001	FALSE
ENSMUSG00000101717	FALSE
ENSMUSG00000025774	FALSE
ENSMUSG00000070977	FALSE
ENSMUSG00000073735	FALSE
ENSMUSG00000067773	FALSE
ENSMUSG00000101685	FALSE
ENSMUSG00000101306	FALSE
ENSMUSG00000088800	FALSE
ENSMUSG00000101644	FALSE
ENSMUSG00000099433	FALSE
ENSMUSG00000100720	FALSE
ENSMUSG00000100538	FALSE
ENSMUSG00000101117	FALSE
ENSMUSG00000100204	FALSE
ENSMUSG00000084668	FALSE
ENSMUSG00000102597	FALSE
ENSMUSG00000104095	FALSE
ENSMUSG00000089914	FALSE
ENSMUSG00000090142	FALSE
ENSMUSG00000070175	FALSE
ENSMUSG00000065559	FALSE
ENSMUSG00000065480	FALSE
ENSMUSG00000025929	FALSE
ENSMUSG00000099714	FALSE
ENSMUSG00000088858	FALSE
ENSMUSG00000077314	FALSE
ENSMUSG00000099971	FALSE
ENSMUSG00000093963	FALSE
ENSMUSG00000067750	FALSE
ENSMUSG00000086194	FALSE
ENSMUSG00000094436	FALSE
ENSMUSG00000041722	FALSE
ENSMUSG00000085507	FALSE
ENSMUSG00000094926	FALSE
ENSMUSG00000085079	FALSE
ENSMUSG00000085679	FALSE
ENSMUSG00000099692	FALSE
ENSMUSG00000100418	FALSE
ENSMUSG00000097642	FALSE
ENSMUSG00000101468	FALSE
ENSMUSG00000073730	FALSE
ENSMUSG00000089553	FALSE
ENSMUSG00000102766	FALSE
ENSMUSG00000065405	FALSE
ENSMUSG00000065567	FALSE
ENSMUSG00000101226	FALSE
ENSMUSG00000097920	FALSE
ENSMUSG00000097670	FALSE
ENSMUSG00000077463	FALSE
ENSMUSG00000099997	FALSE
ENSMUSG00000100131	FALSE
ENSMUSG00000101111	FALSE
ENSMUSG00000100808	FALSE
ENSMUSG00000100483	FALSE
ENSMUSG00000100450	FALSE
ENSMUSG00000099392	FALSE
ENSMUSG00000080849	FALSE
ENSMUSG00000096866	FALSE
ENSMUSG00000084740	FALSE
ENSMUSG00000101301	FALSE
ENSMUSG00000103004	FALSE
ENSMUSG00000101618	FALSE
ENSMUSG00000099458	FALSE
ENSMUSG00000088111	FALSE
ENSMUSG00000073722	FALSE
ENSMUSG00000095256	FALSE
ENSMUSG00000100310	FALSE
ENSMUSG00000101514	FALSE
ENSMUSG00000101033	FALSE
ENSMUSG00000101372	FALSE
ENSMUSG00000103241	FALSE
ENSMUSG00000081557	FALSE
ENSMUSG00000058590	FALSE
ENSMUSG00000101235	FALSE
ENSMUSG00000064433	FALSE
ENSMUSG00000080625	FALSE
ENSMUSG00000080391	FALSE
ENSMUSG00000099257	FALSE
ENSMUSG00000099492	FALSE
ENSMUSG00000118548	FALSE
ENSMUSG00000101726	FALSE
ENSMUSG00000096829	FALSE
ENSMUSG00000098883	FALSE
ENSMUSG00000053185	FALSE
ENSMUSG00000100261	FALSE
ENSMUSG00000101180	FALSE
ENSMUSG00000117310	FALSE
ENSMUSG00000117091	FALSE
ENSMUSG00000086726	FALSE
ENSMUSG00000086727	FALSE
ENSMUSG00000100237	FALSE
ENSMUSG00000098529	FALSE
ENSMUSG00000100910	FALSE
ENSMUSG00000099796	FALSE
ENSMUSG00000050217	FALSE
ENSMUSG00000026063	FALSE
ENSMUSG00000077664	FALSE
ENSMUSG00000100205	FALSE
ENSMUSG00000100592	FALSE
ENSMUSG00000094215	FALSE
ENSMUSG00000101093	FALSE
ENSMUSG00000088620	FALSE
ENSMUSG00000082159	FALSE
ENSMUSG00000064688	FALSE
ENSMUSG00000104498	FALSE
ENSMUSG00000102865	FALSE
ENSMUSG00000089489	FALSE
ENSMUSG00000089395	FALSE
ENSMUSG00000102926	FALSE
ENSMUSG00000100497	FALSE
ENSMUSG00000102917	FALSE
ENSMUSG00000100481	FALSE
ENSMUSG00000100590	FALSE
ENSMUSG00000088750	FALSE
ENSMUSG00000104230	FALSE
ENSMUSG00000101754	FALSE
ENSMUSG00000065223	FALSE
ENSMUSG00000100318	FALSE
ENSMUSG00000101612	FALSE
ENSMUSG00000065260	FALSE
ENSMUSG00000101682	FALSE
ENSMUSG00000102714	FALSE
ENSMUSG00000102093	FALSE
ENSMUSG00000102198	FALSE
ENSMUSG00000103072	FALSE
ENSMUSG00000103596	FALSE
ENSMUSG00000099382	FALSE
ENSMUSG00000084506	FALSE
ENSMUSG00000105982	FALSE
ENSMUSG00000104397	FALSE
ENSMUSG00000102839	FALSE
ENSMUSG00000101206	FALSE
ENSMUSG00000092852	FALSE
ENSMUSG00000101711	FALSE
ENSMUSG00000026125	FALSE
ENSMUSG00000101116	FALSE
ENSMUSG00000101803	FALSE
ENSMUSG00000037529	FALSE
ENSMUSG00000045815	FALSE
ENSMUSG00000100524	FALSE
ENSMUSG00000102499	FALSE
ENSMUSG00000103521	FALSE
ENSMUSG00000104098	FALSE
ENSMUSG00000102537	FALSE
ENSMUSG00000102612	FALSE
ENSMUSG00000118272	FALSE
ENSMUSG00000104358	FALSE
ENSMUSG00000103716	FALSE
ENSMUSG00000103548	FALSE
ENSMUSG00000103760	FALSE
ENSMUSG00000103997	FALSE
ENSMUSG00000077231	FALSE
ENSMUSG00000064601	FALSE
ENSMUSG00000101714	FALSE
ENSMUSG00000103096	FALSE
ENSMUSG00000102279	FALSE
ENSMUSG00000104201	FALSE
ENSMUSG00000102434	FALSE
