Organism	Mart	Dataset	KeggCode	Attribute_GOs	Attribute_entrez	biomaRt_Host	E	R	Bioconductor_DB	Bioconductor_VarName	Reactome_ID	Bioconductor_VarName_SYMBOL
Callithrix	ENSEMBL_MART_ENSEMBL	cjacchus_gene_ensembl	cjc	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Canis	ENSEMBL_MART_ENSEMBL	cfamiliaris_gene_ensembl	cfa	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide	org.Cf.eg.db	org.Cf.egENSEMBL2EG		
Cavia	ENSEMBL_MART_ENSEMBL	cporcellus_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Ciona_i	ENSEMBL_MART_ENSEMBL	cintestinalis_gene_ensembl	cin	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Chicken	ENSEMBL_MART_ENSEMBL	ggallus_gene_ensembl	gga	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide	org.Gg.eg.db	org.Gg.egENSEMBL2EG		
Chlamydomonas	plants_mart	creinhardtii_eg_gene	cre	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Chlorocebus	ENSEMBL_MART_ENSEMBL	csabaeus_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Choloepus	ENSEMBL_MART_ENSEMBL	choffmanni_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Cyanidioschyzon	plants_mart	cmerolae_eg_gene	cme	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Ciona_s	ENSEMBL_MART_ENSEMBL	csavignyi_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Dasypus	ENSEMBL_MART_ENSEMBL	dnovemcinctus_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Dipodomys	ENSEMBL_MART_ENSEMBL	ddordii_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Echinops	ENSEMBL_MART_ENSEMBL	etelfairi_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Erinaceus	ENSEMBL_MART_ENSEMBL	eeuropaeus_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Equus	ENSEMBL_MART_ENSEMBL	ecaballus_gene_ensembl	ecb	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Felis	ENSEMBL_MART_ENSEMBL	fcatus_gene_ensembl	fca	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Ficedula	ENSEMBL_MART_ENSEMBL	falbicollis_gene_ensembl	fab	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Fly	ENSEMBL_MART_ENSEMBL	dmelanogaster_gene_ensembl	dme	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide	org.Dm.eg.db	org.Dm.egENSEMBL2EG	fly	
Gadus	ENSEMBL_MART_ENSEMBL	gmorhua_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Gasterosteus	ENSEMBL_MART_ENSEMBL	gaculeatus_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Glycine	plants_mart	gmax_eg_gene	gmx	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Gorilla	ENSEMBL_MART_ENSEMBL	ggorilla_gene_ensembl	ggo	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Grapevine	plants_mart	vvinifera_eg_gene	vvi	go_id	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Hordeum	plants_mart	hvulgare_eg_gene	NotInKEGG	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Human	ENSEMBL_MART_ENSEMBL	hsapiens_gene_ensembl	hsa	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide	org.Hs.eg.db	org.Hs.egENSEMBL2EG	human	org.Hs.egSYMBOL
Ictydomys	ENSEMBL_MART_ENSEMBL	itridecemlineatus_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Laersia	plants_mart	lperrieri_eg_gene	NotInKEGG	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Latimeria	ENSEMBL_MART_ENSEMBL	lchalumnae_gene_ensembl	lcm	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Lepisosteus	ENSEMBL_MART_ENSEMBL	loculatus_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Loxodonta	ENSEMBL_MART_ENSEMBL	lafricana_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Macaca	ENSEMBL_MART_ENSEMBL	mmulatta_gene_ensembl	mcc	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide	org.Mmu.eg.db	org.Mmu.egENSEMBL2EG		
Macropus	ENSEMBL_MART_ENSEMBL	meugenii_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Medicago	plants_mart	mtruncatula_eg_gene	mtr	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Meleagris	ENSEMBL_MART_ENSEMBL	mgallopavo_gene_ensembl	mgp	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Microcebus	ENSEMBL_MART_ENSEMBL	mmurinus_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Monodelphis	ENSEMBL_MART_ENSEMBL	mdomestica_gene_ensembl	mdo	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Mouse	ENSEMBL_MART_ENSEMBL	mmusculus_gene_ensembl	mmu	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide	org.Mm.eg.db	org.Mm.egENSEMBL2EG	mouse	
Musa	plants_mart	macuminata_eg_gene	mus	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Mustela	ENSEMBL_MART_ENSEMBL	mfuro_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Myotis	ENSEMBL_MART_ENSEMBL	mlucifugus_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Nomascus	ENSEMBL_MART_ENSEMBL	nleucogenys_gene_ensembl	nle	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Ochotona	ENSEMBL_MART_ENSEMBL	oprinceps_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Oreochromis	ENSEMBL_MART_ENSEMBL	oniloticus_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Ornithorhynchus	ENSEMBL_MART_ENSEMBL	oanatinus_gene_ensembl	oaa	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Oryctolagus	ENSEMBL_MART_ENSEMBL	ocuniculus_gene_ensembl	ocu	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Oryza_ba	plants_mart	obarthii_eg_gene	NotInKEGG	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Oryza_b	plants_mart	obrachyantha_eg_gene	obr	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Oryza_gla	plants_mart	oglaberrima_eg_gene	NotInKEGG	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Oryza_g	plants_mart	oglumaepatula_eg_gene	NotInKEGG	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Oryza_l	plants_mart	olongistaminata_eg_gene	NotInKEGG	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Oryza_m	plants_mart	omeridionalis_eg_gene	NotInKEGG	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Oryza_p	plants_mart	opunctata_eg_gene	NotInKEGG	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Oryza_r	plants_mart	orufipogon_eg_gene	NotInKEGG	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Oryza_s	plants_mart	oindica_eg_gene	NotInKEGG	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Oryza_s_j	plants_mart	osativa_eg_gene	osa	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Oryzias	ENSEMBL_MART_ENSEMBL	olaticeps_gene_ensembl	ola	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Ostreococcus	plants_mart	olucimarinus_eg_gene	olu	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Otolemur	ENSEMBL_MART_ENSEMBL	ogarnettii_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Ovis	ENSEMBL_MART_ENSEMBL	oaries_gene_ensembl	oas	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Pan	ENSEMBL_MART_ENSEMBL	ptroglodytes_gene_ensembl	ptr	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide	org.Pt.eg.db	org.Pt.egENSEMBL2EG		
Papio	ENSEMBL_MART_ENSEMBL	panubis_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Pelodiscus	ENSEMBL_MART_ENSEMBL	psinensis_gene_ensembl	pss	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Petromyzon	ENSEMBL_MART_ENSEMBL	pmarinus_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Physcomitrella	plants_mart	ppatens_eg_gene	ppp	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Poecilia	ENSEMBL_MART_ENSEMBL	pformosa_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Pongo	ENSEMBL_MART_ENSEMBL	pabelii_gene_ensembl	pon	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Populus	plants_mart	ptrichocarpa_eg_gene	pop	go_accession	entrezgene	plants.emsembl.org	ensembl_gene_id	refseq_peptide				
Procavia	ENSEMBL_MART_ENSEMBL	pcapensis_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Prunus	plants_mart	ppersica_eg_gene	pper	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Pteropus	ENSEMBL_MART_ENSEMBL	pvampyrus_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide			
Rat	ENSEMBL_MART_ENSEMBL	rnorvegicus_gene_ensembl	rno	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide	org.Rn.eg.db	org.Rn.egENSEMBL2EG	rat	
Saccharomyces	ENSEMBL_MART_ENSEMBL	scerevisiae_gene_ensembl	sce	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Sarcophilus	ENSEMBL_MART_ENSEMBL	sharrisii_gene_ensembl	shr	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Selaginella	plants_mart	smoellendorffii_eg_gene	smo	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Setaria	plants_mart	sitalica_eg_gene	sita	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Solanum_lyc	plants_mart	slycopersicum_eg_gene	sly	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Solanum_tub	plants_mart	stuberosum_eg_gene	sot	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Sorghum	plants_mart	sbicolor_eg_gene	sbi	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Sorex	ENSEMBL_MART_ENSEMBL	saraneus_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Sus	ENSEMBL_MART_ENSEMBL	sscrofa_gene_ensembl	ssc	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Taeniopygia	ENSEMBL_MART_ENSEMBL	tguttata_gene_ensembl	tgu	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Takifugu	ENSEMBL_MART_ENSEMBL	trubripes_gene_ensembl	tru	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Tarsius	ENSEMBL_MART_ENSEMBL	tsyrichta_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Tetraodon	ENSEMBL_MART_ENSEMBL	tnigroviridis_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Theobroma	plants_mart	tcacao_eg_gene	tcc	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Triticum_a	plants_mart	taestivum_eg_gene	NotInKEGG	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Triticum_u	plants_mart	turartu_eg_gene	NotInKEGG	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Tupaia	ENSEMBL_MART_ENSEMBL	tbelangeri_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Tursiops	ENSEMBL_MART_ENSEMBL	ttruncatus_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Vicugna	ENSEMBL_MART_ENSEMBL	vpacos_gene_ensembl	NotInKEGG	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Worm	ENSEMBL_MART_ENSEMBL	celegans_gene_ensembl	cel	go_id	entrezgene_id	www.ensembl.org	ensembl_gene_id	refseq_peptide	org.Ce.eg.db	org.Ce.egENSEMBL2EG		
Xenopus	ENSEMBL_MART_ENSEMBL	xtropicalis_gene_ensembl	xtr	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Xiphophorus	ENSEMBL_GENE_ENSEMBL	xmaculatus_gene_ensembl	xma	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide				
Yeast	ENSEMBL_MART_ENSEMBL	scerevisiae_gene_ensembl	sce	go_id	entrezgene	www.ensembl.org	ensembl_gene_id	refseq_peptide	org.Sc.sgdCHR		yeast	
Zebrafish	ENSEMBL_MART_ENSEMBL	drerio_gene_ensembl	dre	go_id	entrezgene_id	www.ensembl.org	ensembl_gene_id	refseq_peptide	org.Dr.eg.db	org.Dr.egENSEMBL2EG	zebrafish	
Zea	plants_mart	zmays_eg_gene	zma	go_accession	entrezgene	plants.ensembl.org	ensembl_gene_id	refseq_peptide				
Anopheles									org.Ag.eg.db	org.Ag.egENSEMBL2EG		
